feature,correlation_score,rf_score
wl_lag_1,0.9632597816168385,0.9427580984186412
wl_lag_2,0.9388869293286141,0.0010225389405450497
wl_max_7,0.9159916205378843,0.0006390657368507656
wl_lag_3,0.9081670634045025,0.01664099680451645
wl_ma_7,0.8969509513925088,0.0017994402359686737
wl_min_7,0.8596558233721602,0.0005776965911967763
wl_ma_14,0.8308201133951476,0.0005867162883610311
wl_lag_7,0.7807310212753669,0.0004154087045473185
wl_ma_30,0.7508488021242492,0.0008605132171318196
wl_lag_14,0.6304218135609733,0.0006896123644633008
wl_lag_365,0.6149542461241515,0.001050067857669268
season,0.6037673152432708,5.1264390187741264e-05
sin_doy,0.5295455863676988,0.0007782092794097914
cos_doy,0.5112178477693232,0.0022749084712646553
wl_lag_30,0.4906272268223575,0.0007891496850692115
wl_std_7,0.46995618987226945,0.0013719529056596146
rain_ma_14,0.34782515306484907,0.0007816495820237245
month,0.3241769372684976,0.00018793128724686834
rain_ma_7,0.3156702307459409,0.0006956132786964158
precip_evap_interaction,0.24806104947267688,0.0005020296156384322
precipitation_sum,0.23223737592340077,0.0005698074695440383
et0_fao_evapotranspiration,0.2011107301778976,0.00045866017867133424
wl_delta_3,0.16687705953956677,0.0023326772999423162
rain_lag_3,0.16580932394532927,0.00030785540946160676
rainfall,0.16462266581238352,0.0004333646123654125
rain_lag_1,0.16462068555281753,0.00021821730513209482
rain_temp_interaction,0.1641843485742172,0.00026279058949716814
wl_delta_1,0.12349054303424471,0.017521661116858208
temp_ma_14,0.0700596895098929,0.0006429950813060313
temp_ma_7,0.034272128767797574,0.00045994233767138675
temp_lag_3,0.022513936692970544,0.0003967938279122296
rain_ratio,0.01759999588604143,0.0006235870243207296
temperature_2m_max,0.006821861489248007,0.00046726970708306373
temp_lag_1,0.0020619234186590733,0.00046777871357123397
rain_delta_1,0.0001388128947125763,0.0003637356715749973
