model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.36071054301380545,0.9457328543894031,0.19626151944592832,0.35220573730820365,0.9289988623671773,0.18662611793953487
Ridge_Regression,0.3608351043928205,0.9456953686117239,0.19533456374389002,0.3523512391045059,0.9289401868495576,0.18582757510635273
Lasso_Regression,0.4233728112794755,0.9252406984582613,0.24783198148464455,0.4029309373424712,0.9070747617546687,0.22940592696238024
ElasticNet,0.4123247694765074,0.9290915232578179,0.23442465364257903,0.3948836552986564,0.9107494766815422,0.2168416156972014
Random_Forest,0.31735799536748666,0.9579933358384007,0.18191851816854362,0.2821157193423741,0.9544459466620538,0.16857405252107655
Extra_Trees,0.31633525551436686,0.9582636467439434,0.1823209402028912,0.2765017077055993,0.9562409292646012,0.16593438426881293
Gradient_Boosting,0.3239579774250084,0.9562279724407239,0.18394458020183518,0.27002064136265974,0.9582682704746375,0.16383858785065333
XGBoost,0.32466372957677425,0.9560370473542232,0.18445816479574745,0.2831441802888261,0.9541132040381478,0.1648405763592415
LightGBM,0.3152388678547355,0.9585524537822542,0.18485885640352087,0.27467938385402957,0.9568158292862687,0.16822072506510882
SVR,0.3893382327499149,0.9367772455871199,0.24740029022601095,0.3463770353117057,0.9313294325094311,0.22421039008743243
