feature,correlation_score,rf_score
wl_lag_1,0.9613225813366534,0.9413177525182034
wl_lag_2,0.9299550392644123,0.0022430084090471927
wl_max_7,0.9041594205804389,0.0012658132958500853
wl_lag_3,0.8964032750560385,0.0031529354384627296
wl_ma_7,0.8874429981552655,0.0012339181959888504
wl_min_7,0.8517268106944088,0.0013317582249636833
wl_ma_14,0.8266702029872794,0.0018412993093373012
wl_ma_30,0.7800007601021985,0.001737808989436522
wl_lag_7,0.7674336717803691,0.00489293484814
season,0.6974516544666777,0.00011882016362547626
wl_lag_365,0.6957500421086706,0.003488430883480174
sin_doy,0.6662710755829081,0.002109938858223159
rain_ma_14,0.6453894705657063,0.001334256854897666
wl_lag_14,0.6406358712408193,0.001271873463261329
rain_ma_7,0.5929756019703092,0.0008141072314080608
wl_lag_30,0.576214940405387,0.0013744009719135332
month,0.4787094713281075,0.0005306852373498092
wl_std_7,0.46669226739393566,0.0018587729051626834
cos_doy,0.40151490257492367,0.0032874435256264015
rain_temp_interaction,0.3249251551481855,0.0002957771919649148
rain_lag_1,0.3244215854512816,0.00030714545448678907
rainfall,0.32441118595413565,0.0017164663651812074
rain_lag_3,0.32065179195977384,0.0008575938184754209
precipitation_sum,0.30321095121425606,0.0012264883473085194
temp_ma_14,0.26078288610389433,0.0011098321793267518
precip_evap_interaction,0.2500373253617358,0.0007707728260763557
temp_ma_7,0.21680577758177008,0.0008403967715429798
wl_delta_3,0.1999399701389215,0.0018418989316825055
et0_fao_evapotranspiration,0.18786963471075782,0.0012340120370319051
wl_delta_1,0.18261357501190378,0.009658502934218993
temp_lag_3,0.15545737762507278,0.0007859002023502991
temp_lag_1,0.14517532296653032,0.0009679596608903574
temperature_2m_max,0.13674623414097897,0.0013641955733329143
rain_delta_1,0.0026433387354217806,0.0011663853740563673
rain_ratio,0.0006932481847965263,0.0006507130076957795
