model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.25123008529038615,0.9171513809086732,0.1289157389216254,0.24835808799252243,0.9186911216064332,0.12791511103143605
Ridge_Regression,0.2512620226482605,0.9171303154843068,0.12885384072595352,0.24847796760478771,0.9186126089286787,0.12782019465912972
Lasso_Regression,0.2910839442984148,0.8887811283334068,0.17453881029932927,0.29504172246915983,0.8852511810020476,0.17237817983437984
ElasticNet,0.27193738993199323,0.9029311616808442,0.15274548320961276,0.2732857050362621,0.9015501212855306,0.14955742092096308
Random_Forest,0.25630880886864654,0.9137678831936578,0.1380665461858512,0.2507391980213445,0.9171245652349741,0.14125519537871584
Extra_Trees,0.2529724347016793,0.9159982403504978,0.1353540754194154,0.24969602353593684,0.9178127200922407,0.1370237411017745
Gradient_Boosting,0.253739216351761,0.915488235174174,0.14370558443197137,0.25764440926106985,0.9124970286390682,0.1528363268615342
XGBoost,0.2522037755536191,0.9165079450916285,0.13431256266740652,0.2493439501468022,0.9180443261371274,0.13846638673320247
LightGBM,0.2503600011336672,0.9177242457745832,0.13772642076925906,0.2515032606482112,0.9166187129262503,0.14469782255629127
SVR,0.3112080141414222,0.872871323099378,0.19061188612150656,0.3445881060555609,0.8434756456671435,0.2399395417918334
