Station,Best_Model,Test_RMSE,Test_R2,Num_Features,Model_Path,Forecast_Path,Alarm_Stage,Flood_Stage,Feature_Selection,Features_Reduced
Ban_Had_Paeng,Extra_Trees,0.24047887521413072,0.9691505228591571,25,models\regression\best_regressor_Ban_Had_Paeng.pkl,models\forecasts\Ban_Had_Paeng_forecast.csv,12.5,13.0,ENABLED,35→25
Ban_Kengdone,Random_Forest,0.31166505154936125,0.9705750138994185,26,models\regression\best_regressor_Ban_Kengdone.pkl,models\forecasts\Ban_Kengdone_forecast.csv,15.0,16.5,ENABLED,35→26
Ban_Mai_Singsamphan,Extra_Trees,0.2751590996054923,0.9641874904251297,26,models\regression\best_regressor_Ban_Mai_Singsamphan.pkl,models\forecasts\Ban_Mai_Singsamphan_forecast.csv,12.0,13.0,ENABLED,35→26
Ban_Mixai,Extra_Trees,0.26374233022969884,0.9537898798633722,25,models\regression\best_regressor_Ban_Mixai.pkl,models\forecasts\Ban_Mixai_forecast.csv,9.0,9.5,ENABLED,35→25
Ban_Nape,Linear_Regression,0.16230413222121434,0.9554893524946533,25,models\regression\best_regressor_Ban_Nape.pkl,models\forecasts\Ban_Nape_forecast.csv,4.5,5.5,ENABLED,35→25
Ban_Tha_Kok_Daeng,Gradient_Boosting,0.29394997900130415,0.9664048810594557,25,models\regression\best_regressor_Ban_Tha_Kok_Daeng.pkl,models\forecasts\Ban_Tha_Kok_Daeng_forecast.csv,12.0,13.0,ENABLED,35→25
Ban_Veunkhen,Gradient_Boosting,0.32855044933188593,0.9703724186445397,26,models\regression\best_regressor_Ban_Veunkhen.pkl,models\forecasts\Ban_Veunkhen_forecast.csv,15.0,16.0,ENABLED,35→26
Bueng_Kan,XGBoost,0.27974183243809825,0.9550837405054569,25,models\regression\best_regressor_Bueng_Kan.pkl,models\forecasts\Bueng_Kan_forecast.csv,10.18,11.18,ENABLED,35→25
Can_Tho,Linear_Regression,0.08621569733805785,0.9285136067896638,27,models\regression\best_regressor_Can_Tho.pkl,models\forecasts\Can_Tho_forecast.csv,1.7,1.9,ENABLED,35→27
Chaktomuk,Extra_Trees,0.23792207646688254,0.9710503023688078,25,models\regression\best_regressor_Chaktomuk.pkl,models\forecasts\Chaktomuk_forecast.csv,10.5,12.0,ENABLED,35→25
Chau_Doc,XGBoost,0.19212859032637286,0.9409137947051359,27,models\regression\best_regressor_Chau_Doc.pkl,models\forecasts\Chau_Doc_forecast.csv,3.0,4.0,ENABLED,35→27
Kamrieng,Linear_Regression,0.15601150682565085,0.9568942121254028,27,models\regression\best_regressor_Kamrieng.pkl,models\forecasts\Kamrieng_forecast.csv,5.0,6.0,ENABLED,35→27
Koh_Khel,Extra_Trees,0.2929203839015347,0.9353460495705971,27,models\regression\best_regressor_Koh_Khel.pkl,models\forecasts\Koh_Khel_forecast.csv,7.9,8.4,ENABLED,35→27
Kompong_Cham,Extra_Trees,0.34137540108576336,0.9679799448334804,25,models\regression\best_regressor_Kompong_Cham.pkl,models\forecasts\Kompong_Cham_forecast.csv,15.2,16.2,ENABLED,35→25
Kratie,Gradient_Boosting,0.21945169933703526,0.9833009982437518,26,models\regression\best_regressor_Kratie.pkl,models\forecasts\Kratie_forecast.csv,22.0,23.0,ENABLED,35→26
Muang_Kao,XGBoost,0.2756365605753582,0.9415940554534017,26,models\regression\best_regressor_Muang_Kao.pkl,models\forecasts\Muang_Kao_forecast.csv,7.0,8.0,ENABLED,35→26
Muong_Ngoy,Extra_Trees,0.31380361605069357,0.9557359559308909,24,models\regression\best_regressor_Muong_Ngoy.pkl,models\forecasts\Muong_Ngoy_forecast.csv,16.5,17.5,ENABLED,35→24
My_Thuan,Extra_Trees,0.07836179504303908,0.9429661587609761,26,models\regression\best_regressor_My_Thuan.pkl,models\forecasts\My_Thuan_forecast.csv,1.6,1.8,ENABLED,35→26
Neak_Luong,Random_Forest,0.28806969756685,0.9400510994105709,23,models\regression\best_regressor_Neak_Luong.pkl,models\forecasts\Neak_Luong_forecast.csv,7.5,8.0,ENABLED,35→23
Nong_Khai_2,Gradient_Boosting,0.2743007984834912,0.9612051083382798,26,models\regression\best_regressor_Nong_Khai_2.pkl,models\forecasts\Nong_Khai_2_forecast.csv,11.4,12.2,ENABLED,35→26
Pha_Phin,Extra_Trees,0.2861799811957079,0.9590040841889053,24,models\regression\best_regressor_Pha_Phin.pkl,models\forecasts\Pha_Phin_forecast.csv,11.0,12.0,ENABLED,35→24
Phnom_Koy,Linear_Regression,0.0,1.0,32,models\regression\best_regressor_Phnom_Koy.pkl,models\forecasts\Phnom_Koy_forecast.csv,5.0,6.0,ENABLED,35→32
Prek_Kdam,Gradient_Boosting,0.3398836568195558,0.934595387053202,26,models\regression\best_regressor_Prek_Kdam.pkl,models\forecasts\Prek_Kdam_forecast.csv,9.5,10.0,ENABLED,35→26
Siempang,Extra_Trees,0.2954693543188085,0.961877408642545,26,models\regression\best_regressor_Siempang.pkl,models\forecasts\Siempang_forecast.csv,11.5,12.5,ENABLED,35→26
Stung_Treng,Gradient_Boosting,0.27002064136265974,0.9582682704746375,24,models\regression\best_regressor_Stung_Treng.pkl,models\forecasts\Stung_Treng_forecast.csv,10.7,12.0,ENABLED,35→24
Tan_Chau,Linear_Regression,0.24835808799252243,0.9186911216064332,25,models\regression\best_regressor_Tan_Chau.pkl,models\forecasts\Tan_Chau_forecast.csv,3.5,4.5,ENABLED,35→25
