sortOrder,stationId,name,river,country,latitude,longitude,floodStage,alarmStage,stationType
1,092600,Jinghong,Mekong,China,22.01597,100.80222,,,CHINA
2,092980,Ma’an,Ma’an,China,21.91,101.26,,,CHINA
100,010402,Xieng Kok,Mekong,Lao PDR,20.90056,100.6364,,,HYCOS
103,010901,Pak Beng,Mekong,Lao PDR,19.891,101.127,,,HYCOS
106,010701,Ban Xanghai,Mekong,Lao PDR,20.00331,102.2313,,,HYCOS
109,011201,Luang Prabang,Mekong,Lao PDR,19.8928,102.13418,18.0,17.5,HYCOS
112,011501,Ban Pakhoung,Mekong,Lao PDR,19.19707,101.82158,,,JEM
115,011901,Vientiane KM4,Mekong,Lao PDR,17.93098,102.61556,12.5,11.5,HYCOS
118,012703,Paksane,Mekong,Lao PDR,18.373404,103.66321,14.5,13.5,HYCOS
121,013102,Thakhek,Mekong,Lao PDR,17.394533,104.8014,14.0,13.0,HYCOS
124,013401,Savannakhet,Mekong,Lao PDR,16.563604,105.74297,13.0,12.0,HYCOS
127,013806,Ban Mai Singsamphan,Mekong,Lao PDR,15.32472,105.5317,13.0,12.0,HYCOS
130,013901,Pakse,Mekong,Lao PDR,15.09976,105.81319,12.0,11.0,HYCOS
133,013903,Pha Phin,Mekong,Lao PDR,14.948,105.889,12.0,11.0,HYCOS
136,013905,Don Sahong,Mekong,Lao PDR,13.9417,105.9549,,,JEM
139,011200,Hat Gna,Nam Ou,Lao PDR,20.087,102.263,,,HYCOS
142,100102,Muong Ngoy,Nam Ou,Lao PDR,20.5721,102.61702,17.5,16.5,HYCOS
145,120101,Ban Mixai,Nam Khan,Lao PDR,19.78606,102.18314,9.5,9.0,HYCOS
151,260101,Muang Kao,Nam Sane,Lao PDR,18.56193,103.72594,8.0,7.0,DROUGHT
154,270101,Phonesy,Nam Ca Ding,Lao PDR,18.30233,104.09739,14.75,13.75,DROUGHT
157,270502,Ban Nape,Nam Phao,Lao PDR,18.30457,105.07359,5.5,4.5,HYCOS
160,320107,Mahaxai,Se Bang Fai,Lao PDR,17.4179,105.19847,15.0,14.0,HYCOS
163,320101,Se Bangfai,Se Bang Fai,Lao PDR,17.07652,104.98537,20.0,19.0,HYCOS
166,350101,Ban Kengdone,Se Bang Hieng,Lao PDR,16.18727,105.31287,16.5,15.0,HYCOS
169,350105,Sopnam,Se Bang Hieng,Lao PDR,16.68719,106.21497,17.0,16.0,HYCOS
178,390102,Khongsedone,Nam Sedone,Lao PDR,15.57774,105.81052,13.3,12.3,DROUGHT
181,430106,Ban Veunkhen,Se Kong,Lao PDR,14.8192,106.80566,16.0,15.0,HYCOS
200,010501,Chiang Saen,Mekong,Thailand,20.27412,100.08855,12.8,11.5,HYCOS
204,011903,Chiang Khan,Mekong,Thailand,17.90026,101.66989,16.0,14.5,HYCOS
212,012002,Nong Khai 2,Mekong,Thailand,17.87775,102.71667,12.2,11.4,HYCOS
216,012702,Bueng Kan,Mekong,Thailand,18.401388,103.58111,11.18,10.18,HYCOS
220,013101,Nakhon Phanom,Mekong,Thailand,17.623796,104.51742,12.0,11.5,HYCOS
224,013402,Mukdahan,Mekong,Thailand,16.5828,104.73318,12.5,12.0,HYCOS
228,013601,Amnat Chareon,Mekong,Thailand,16.225834,105.01361,,,HYCOS
232,013501,Khemarat,Mekong,Thailand,16.035,105.29,,,HYCOS
236,013801,Khong Chiam,Mekong,Thailand,15.32209,105.49348,14.5,13.5,HYCOS
240,050107,Mae Chan,Nam Mae Kok,Thailand,20.141,100.038,,,HYCOS
248,070103,Thoeng,Nam Mae Ing,Thailand,19.68843,100.18723,8.0,7.5,HYCOS
252,150101,Wang Saphung,Nam Loei,Thailand,17.29986,101.77597,9.0,8.0,HYCOS
